City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Baisha,CN,76.73,broken clouds,26.5222,110.9311,Xiangcun Old Place Hotel
Urucara,BR,85.6,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
Shimoda,JP,77.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
Kralendijk,BQ,82.38,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
Oktyabrskiy,RU,82.04,broken clouds,54.4815,53.471000000000004,Гостиница Октябрьская
Carutapera,BR,82.89,overcast clouds,-1.195,-46.02,Lidera
Marsh Harbour,BS,82.72,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
Lata,PT,87.93,overcast clouds,40.1629,-8.3327,Casa Maquia
Namatanai,PG,78.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
Tura,IN,76.64,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
Mirpur Sakro,PK,87.53,clear sky,24.5474,67.6277,Ali muhammad’s house
Acarau,BR,84.49,overcast clouds,-2.8856,-40.12,castelo pizzaria
Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
Caravelas,BR,73.22,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
Salalah,OM,86.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
Itarema,BR,84.61,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
Faanui,PF,78.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Panzhihua,CN,76.24,broken clouds,26.5851,101.7128,Electric Power Hotel
Alice Springs,AU,80.15,few clouds,-23.7,133.8833,Desert Palms Alice Springs
Hasaki,JP,79.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
Port Moresby,PG,76.96,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
Praia Da Vitoria,PT,79.05,few clouds,38.7333,-27.0667,Hotel Branco I
Ponta Do Sol,PT,77.0,light rain,32.6667,-17.1,Hotel do Campo
Nabha,IN,88.5,overcast clouds,30.3747,76.1486,City heart hotel and restaurant
Korba,IN,80.8,overcast clouds,22.35,82.6833,Hotel Deendayal
Kailua,US,78.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
Labuhan,ID,80.83,overcast clouds,-6.8844,112.2051,DoubleFAG
Beloha,MG,89.74,clear sky,-25.1667,45.05,
